"Slug","Title","Year?","Vimeo Link","Vimeo Full Screen Link","Which item?"
"thunderdome-2026","Thunderdome","2026","https://vimeo.com/1206885640?share=copy&fl=sv&fe=ci","https://player.vimeo.com/video/1206885640","Video"
"paint-war-2026","Paint War","2026","https://vimeo.com/1206885334?share=copy&fl=sv&fe=ci","https://player.vimeo.com/video/1206885334","Video"
"2026-camp-caudle-video","2026 Camp Caudle video","2026","https://vimeo.com/1206885333?share=copy&fl=sv&fe=ci","https://player.vimeo.com/video/1206885333","Video"
"slipnslide-day-1","Slip 'n Slide Day 1","2026","https://vimeo.com/1206885336?fl=ip&fe=ec","https://player.vimeo.com/video/1206885336","Video"
"slide-n-slide-day-2","Slip 'n Slide Day 2","2026","https://vimeo.com/1206885335?fl=ip&fe=ec","https://player.vimeo.com/video/1206885335","Video"
"camp-caude-day-5-2026","Camp Caude | Day 5 | 2026","2026","https://vimeo.com/1206841200?share=copy&fl=sv&fe=ci","https://player.vimeo.com/video/1206841200","Video"
"camp-caude-day-4-2026","Camp Caude | Day 4 | 2026","2026","https://vimeo.com/1206840847?share=copy&fl=sv&fe=ci","https://player.vimeo.com/video/1206840847","Video"
"camp-caude-day-3-2026","Camp Caude | Day 3 | 2026","2026","https://vimeo.com/1206841823","https://player.vimeo.com/video/1206841823","Video"
"camp-caude-day-2-2026","Camp Caude | Day 2 | 2026","2026","https://vimeo.com/1206840846?share=copy&fl=sv&fe=ci","https://player.vimeo.com/video/1206840846","Video"
"camp-caude-day-1-2026","Camp Caude | Day 1 | 2026","2026","https://vimeo.com/1206840849?share=copy&fl=sv&fe=ci","https://player.vimeo.com/video/1206840849","Video"
"paint-war","Paint War","2025","https://vimeo.com/1099010836?share=copy","https://player.vimeo.com/video/1099010836","Playlist"
"day-5-overview","Day 5 Overview","2025","https://vimeo.com/1099010894","https://player.vimeo.com/video/1099010894","Playlist"
"slip-n-slide-2","Slip-n-Slide 2","2025","https://vimeo.com/1099011062","https://player.vimeo.com/video/1099011062","Playlist"
"day-4-overview","Day 4 Overview","2025","https://vimeo.com/1099011215","https://player.vimeo.com/video/1099011215","Playlist"
"slip-n-slide-day-1","Slip-n-Slide 1","2025","https://vimeo.com/1099011339","https://player.vimeo.com/video/1099011339","Playlist"
"day-3-overview","Day 3 Overview","2025","https://vimeo.com/1099011531","https://player.vimeo.com/video/1099011531","Playlist"
"thunderdome","Thunderdome","2025","https://vimeo.com/1099011685","https://player.vimeo.com/video/1099011685","Playlist"
"day-2-overview","Day 2 Overview","2025","https://vimeo.com/1099011816?share=copy","https://player.vimeo.com/video/1099011816","Playlist"
"camp-caudle-2025-highlight-video","Camp Caudle 2025 Highlight Video","2025","https://vimeo.com/1099011960","https://player.vimeo.com/video/1099011960","Playlist"
"camp-caude-day-5-2025","Camp Caude | Day 5 | 2025","2025","https://vimeo.com/1098881181","https://player.vimeo.com/video/1098881181","Video"
"camp-caude-day-4-2025","Camp Caude | Day 4 | 2025","2025","https://vimeo.com/1098881102","https://player.vimeo.com/video/1098881102","Video"
"camp-caude-day-3-2025","Camp Caude | Day 3 | 2025","2025","https://vimeo.com/1098061707","https://player.vimeo.com/video/1098061707","Video"
"camp-caude-day-2-2025","Camp Caude | Day 2 | 2025","2025","https://vimeo.com/1097727235","https://player.vimeo.com/video/1097727235","Video"
"camp-caude-day-1-2025","Camp Caude | Day 1 | 2025","2025","https://vimeo.com/1097725276","https://player.vimeo.com/video/1097725276","Video"
"camp-caude-day-2-2024","Camp Caudle | Day 2 | 2024","2024","https://vimeo.com/973637197","https://player.vimeo.com/video/973637197","Video"
"camp-caude-day-4-2024","Camp Caudle | Day 4 | 2024","2024","https://vimeo.com/976107398","https://player.vimeo.com/video/976107398","Video"
"camp-caude-day-3-2024","Camp Caudle | Day 3 | 2024","2024","https://vimeo.com/975179494","https://player.vimeo.com/video/975179494","Video"
"camp-caude-day-5-2024","Camp Caudle | Day 5 | 2024","2024","https://vimeo.com/978561398","https://player.vimeo.com/video/978561398","Video"
"camp-caude-day-1-2024","Camp Caudle | Day 1 | 2024","2024","https://vimeo.com/972620565?share=copy","https://player.vimeo.com/video/972620565","Video"
"camp-caude-day-5-2022","Camp Caudle | Day 5 | 2022","2022","https://vimeo.com/728246316","https://player.vimeo.com/video/728246316","Video"
"camp-caude-day-4-2022","Camp Caudle | Day 4 | 2022","2022","https://vimeo.com/730220279","https://player.vimeo.com/video/730220279","Video"
"camp-caude-day-3-2022","Camp Caudle | Day 3 | 2022","2022","https://vimeo.com/727233163","https://player.vimeo.com/video/727233163","Video"
"camp-caude-day-2-2022","Camp Caudle | Day 2 | 2022","2022","https://vimeo.com/727052364","https://player.vimeo.com/video/727052364","Video"
"camp-caude-day-1-2022","Camp Caudle | Day 1 | 2022","2022","https://vimeo.com/728335890","https://player.vimeo.com/video/728335890","Video"
"camp-caude-day-5-2023","Camp Caudle | Day 5 | 2023","2023","https://vimeo.com/843577119","https://player.vimeo.com/video/843577119","Video"
"camp-caude-day-4-2023","Camp Caudle | Day 4 | 2023","2023","https://vimeo.com/843577103","https://player.vimeo.com/video/843577103","Video"
"camp-caude-day-3-2023","Camp Caudle | Day 3 | 2023","2023","https://vimeo.com/843579131","https://player.vimeo.com/video/843579131","Video"
"camp-caude-day-2-2023","Camp Caudle | Day 2 | 2023","2023","https://vimeo.com/843506306","https://player.vimeo.com/video/843506306","Video"
"camp-caude-day-1-2023","Camp Caudle | Day 1 | 2023","2023","https://vimeo.com/843509032","https://player.vimeo.com/video/843509032","Video"
